Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
02 01 2018 20:20,3397.638916,11.94402981,3512.977172,201.1663971
02 01 2018 20:30,3391.716064,11.85929012,3498.353994,201.7106018
02 01 2018 20:40,3587.510986,12.81147957,3595.135782,201.3484955
02 01 2018 20:50,3603.112061,12.91353989,3597.284381,201.6768951
02 01 2018 21:00,3591.093018,12.72832012,3592.269026,202.4132996
02 01 2018 21:10,3221.044922,11.66357994,3459.656972,202.6618958
02 01 2018 21:20,2887.733887,11.0952301,3305.038612,204.061203
02 01 2018 21:30,2364.534912,10.16094971,2888.183469,203.3379059
02 01 2018 21:40,1935.847046,9.202415466,2275.211448,197.8013
02 01 2018 21:50,1549.480957,8.539284706,1852.273851,195.5061035
02 01 2018 22:00,1625.755981,8.809141159,2021.754239,187.4846039
02 01 2018 22:10,1994.222046,9.608460426,2523.60898,188.0238953
02 01 2018 22:20,2362,9.844923973,2691.848533,190.6604004
02 01 2018 22:30,2097.771973,9.338670731,2364.198743,196.7335968
02 01 2018 22:40,1564.590942,8.424916267,1781.899877,197.0158997
02 01 2018 22:50,1107.474976,7.656233788,1339.713949,188.6903992
02 01 2018 23:00,1303.116943,8.144581795,1613.847713,181.6596069
02 01 2018 23:10,1561.182007,8.54713726,1857.140175,173.5366974
02 01 2018 23:20,1544.999023,8.381804466,1755.627598,171.3834076
02 01 2018 23:30,1456.738037,7.850449085,1445.553534,179.8197937
02 01 2018 23:40,1795.644043,8.656551361,1925.374082,188.2382965
02 01 2018 23:50,2773.291016,10.92311954,3244.617174,179.039093
03 01 2018 00:00,2782.568115,10.4051199,3019.332696,176.9255981
03 01 2018 00:10,2446.424072,9.498130798,2468.761378,174.677002
03 01 2018 00:20,3412.39209,11.93025017,3510.684928,180.6725006
03 01 2018 00:30,3255.337891,11.07629013,3298.717792,183.8755035
03 01 2018 00:40,2796.876953,10.45788002,3045.466801,192.1911011
03 01 2018 00:50,2467.954102,9.791149139,2655.255241,197.104599
03 01 2018 01:00,1278.886963,7.626486778,1323.911052,202.940506
03 01 2018 01:10,1042.537964,7.287635803,1150.913828,207.3871002
03 01 2018 01:20,609.0761719,6.228209019,703.7205269,216.9989014
03 01 2018 01:30,175.4407043,4.47162199,216.0170723,222.5090942
03 01 2018 01:40,112.1109009,4.127829075,147.1041396,215.4514008
03 01 2018 01:50,271.9171143,5.032844067,344.1094784,202.5102997
03 01 2018 02:00,737.4487915,6.267045021,717.8434981,211.2003021
03 01 2018 02:10,1375.579956,7.763337135,1397.52319,193.6107025
03 01 2018 02:20,1520.890015,8.21955204,1658.119112,172.135498
03 01 2018 02:30,1349.112061,7.974888802,1515.649475,168.3569031
03 01 2018 02:40,889.1298218,6.794364929,926.0444806,171.1295013
03 01 2018 02:50,412.115509,5.536108017,479.4472407,162.7037964
03 01 2018 03:00,444.6036072,5.491714954,466.6197137,150.2816925
03 01 2018 03:10,655.7307129,6.076754093,650.187023,149.6408997
03 01 2018 03:20,882.5654297,6.69093895,882.7282325,152.2225037
03 01 2018 03:30,998.3845825,6.848011971,949.0116113,157.1643066
03 01 2018 03:40,1193.395996,7.759384155,1395.364787,152.699707
03 01 2018 03:50,1122.712036,7.417626858,1215.659509,152.076004
03 01 2018 04:00,1214.125977,7.472226143,1243.600054,154.7837982
03 01 2018 04:10,1086.307007,7.080772877,1052.768027,160.2183075
03 01 2018 04:20,1060.603027,7.053721905,1040.356847,165.8153992
03 01 2018 04:30,1451.713989,7.766314983,1399.150382,170.8444977
03 01 2018 04:40,1361.459961,7.833246231,1435.998878,173.0240936
03 01 2018 04:50,1490.569946,7.959300995,1506.776853,173.9763947
03 01 2018 05:00,1153.139038,7.283742905,1149.012424,176.7931976
