Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
04 01 2018 21:50,619.8723755,6.015673161,629.2911153,25.7741394
04 01 2018 22:00,470.2001038,5.59703207,497.3508864,23.50094986
04 01 2018 22:10,691.0140991,6.277314186,721.6050696,23.72624969
04 01 2018 22:20,826.9951782,6.49335289,803.3932558,20.42690086
04 01 2018 22:30,892.4243774,6.786591053,922.7448934,25.21842003
04 01 2018 22:40,907.1884155,6.764401913,913.3662189,30.23693085
04 01 2018 22:50,545.2653198,5.724936962,536.095229,29.67219925
04 01 2018 23:00,688.8358154,6.238166809,707.326293,30.00231934
04 01 2018 23:10,591.9088745,5.945401192,606.7245764,29.64308929
04 01 2018 23:20,660.6942749,6.17223978,683.651641,30.39785957
04 01 2018 23:30,747.4074707,6.351617813,749.1615205,30.28310966
04 01 2018 23:40,1174.243042,7.168983936,1093.909493,18.97281075
04 01 2018 23:50,873.4810181,6.629221916,857.4721041,17.22633934
05 01 2018 00:00,845.2050171,6.55459404,827.511985,12.58047009
05 01 2018 00:10,837.0637207,6.395040989,765.5427556,9.429060936
05 01 2018 00:20,949.4943237,6.797101021,927.2075123,4.961769104
05 01 2018 00:30,1045.36499,6.920464993,980.5831564,358.1897888
05 01 2018 00:40,791.0836182,6.278329849,721.977722,351.8651123
05 01 2018 00:50,994.7495728,6.682812214,879.3775226,2.56614089
05 01 2018 01:00,933.4232178,6.721062183,895.2150304,7.876725197
05 01 2018 01:10,1049.432983,7.131796837,1076.439327,14.10332012
05 01 2018 01:20,671.7241211,6.148598194,675.2752484,20.33539009
05 01 2018 01:30,966.8311768,6.896099091,969.8939666,21.0418396
05 01 2018 01:40,982.2590942,6.926294804,983.1515252,22.93596077
05 01 2018 01:50,825.6619263,6.567954063,832.8293134,33.37145996
05 01 2018 02:00,723.1392212,6.398931026,767.0202867,32.30049896
05 01 2018 02:10,418.6412048,5.446605206,453.7702746,30.16810989
05 01 2018 02:20,327.2762146,5.108693123,363.1576895,27.08235931
05 01 2018 02:30,388.316803,5.232514858,395.2422704,22.60456085
05 01 2018 02:40,167.2218018,4.243929863,169.6759343,30.59626007
05 01 2018 02:50,137.2467957,4.137093067,148.8807431,32.78860855
05 01 2018 03:00,130.7671051,4.160939217,153.4730055,30.18254089
05 01 2018 03:10,117.8118973,4.124106884,146.3914796,31.8532505
05 01 2018 03:20,111.3429031,4.126059055,146.7651643,26.32125092
05 01 2018 03:30,114.2955017,4.204703808,161.9741682,25.67859077
05 01 2018 03:40,143.7870941,4.355268002,191.9770866,27.08256912
05 01 2018 03:50,88.93582916,3.952167034,118.99911,36.21786118
05 01 2018 04:00,183.6699982,4.434104919,208.1806792,29.74682045
05 01 2018 04:10,82.14437866,3.678040981,74.47647719,25.84374046
05 01 2018 04:20,139.9472046,4.063600063,134.8987308,21.24472046
05 01 2018 04:30,434.5010986,5.488460064,465.6863498,17.45406914
05 01 2018 04:40,474.0610962,5.625834942,505.9375911,12.99639034
05 01 2018 04:50,415.1499939,5.394489765,439.1538423,12.51430988
05 01 2018 05:00,435.0263977,5.4572649,456.7899831,12.40832996
05 01 2018 05:10,402.3875122,5.450904846,454.9870522,15.87475014
05 01 2018 05:20,257.2170105,4.76416111,280.1054557,9.024561882
05 01 2018 05:30,137.417099,4.101181984,142.0168107,7.712677002
05 01 2018 05:40,102.3587036,3.941123009,116.9729377,7.581837177
05 01 2018 05:50,92.7376709,3.87789607,105.7487951,11.42055988
05 01 2018 06:00,78.11549377,3.836927891,98.81755605,29.3313694
05 01 2018 06:10,110.3116989,4.130588055,147.6328107,25.04413033
05 01 2018 06:20,102.552803,4.081981182,138.371917,24.68565941
05 01 2018 06:30,77.85061646,3.839956999,99.32084475,24.07126999
05 01 2018 06:40,81.45278168,3.975877047,123.4149463,23.42119026
05 01 2018 06:50,66.64151001,3.820688963,96.14447672,39.26622009
05 01 2018 07:00,90.01490784,3.98053503,124.2930366,52.09212112
05 01 2018 07:10,112.0342026,4.142834187,149.9838297,52.06705093
05 01 2018 07:20,82.11415863,3.929188967,114.8054178,52.53002167
05 01 2018 07:30,13.93430996,3.227394104,27.41325761,62.52310944
05 01 2018 07:40,0,2.693974972,0,63.97663116
05 01 2018 07:50,0,3.76078701,86.64893432,72.28019714
05 01 2018 08:00,55.44535065,3.734816074,82.71048743,69.53996277
05 01 2018 08:10,22.78053093,3.310203075,33.62457425,74.86411285
05 01 2018 08:20,4.355070114,2.853812933,0,85.75393677
05 01 2018 08:30,0,2.664561987,0,84.46118164
05 01 2018 08:40,0,3.140161991,22.05681442,92.12463379
05 01 2018 08:50,0,2.632610083,0,101.8510971
05 01 2018 09:00,0,1.738193035,0,99.7596817
05 01 2018 09:10,0,1.935835004,0,75.03088379
05 01 2018 09:20,0,1.757176995,0,73.65454865
05 01 2018 09:30,0,1.542072058,0,65.50054169
05 01 2018 09:40,0,1.623093009,0,53.91765976
05 01 2018 09:50,0,2.062084913,0,44.93912125
05 01 2018 10:00,0,2.059083939,0,40.33227158
05 01 2018 10:10,0,2.153846025,0,36.03804016
05 01 2018 10:20,0,2.047363997,0,56.5520401
05 01 2018 10:30,0,1.635233045,0,65.39498138
05 01 2018 10:40,0,0.838681579,0,64.3360672
05 01 2018 10:50,0,1.287089944,0,30.20119095
05 01 2018 11:00,0,1.370728016,0,24.33827972
05 01 2018 11:10,0,2.464360952,0,307.5815125
05 01 2018 11:20,0,3.067440033,18.5219337,308.2029114
05 01 2018 11:30,0,2.977355957,0,307.5805969
05 01 2018 11:40,0,2.896075964,0,313.1120911
05 01 2018 11:50,0,2.201855898,0,338.1872864
05 01 2018 12:00,0,3.418040991,43.35797331,308.2749023
05 01 2018 12:10,0,3.209656954,26.22550558,296.4602051
05 01 2018 12:20,0,3.092607975,19.64955416,302.644989
05 01 2018 12:30,0,2.95758605,0,306.2347107
05 01 2018 12:40,0,3.802710056,93.23419656,302.2344971
05 01 2018 12:50,0,2.681519032,0,300.1575012
05 01 2018 13:00,0,2.174657106,0,308.3120117
05 01 2018 13:10,0,2.12748909,0,285.7166138
05 01 2018 13:20,0,1.911278009,0,263.1394043
05 01 2018 13:30,0,1.717532039,0,250.1069031
05 01 2018 13:40,0,1.953783989,0,235.3231049
05 01 2018 13:50,0,2.104336023,0,231.5205994
05 01 2018 14:00,0,2.173634052,0,261.1196899
05 01 2018 14:10,0,1.786031008,0,250.3791046
05 01 2018 14:20,0,1.511755943,0,283.2633972
05 01 2018 14:30,0,1.59967804,0,323.84729
05 01 2018 14:40,0,1.383831024,0,311.7663879
05 01 2018 14:50,0,1.28223002,0,289.660614
05 01 2018 15:00,0,1.768030047,0,253.3930969
05 01 2018 15:10,0,1.630704045,0,238.4373932
05 01 2018 15:20,0,1.433897018,0,234.3511963
05 01 2018 15:30,0,1.669222951,0,247.1123962
05 01 2018 15:40,0,1.545390964,0,236.2960968
05 01 2018 15:50,0,1.981886983,0,235.3430939
05 01 2018 16:00,0,2.633574963,0,236.8869019
05 01 2018 16:10,0,2.414356947,0,229.2657928
05 01 2018 16:20,0,2.152529955,0,242.2501984
05 01 2018 16:30,0,2.120126009,0,234.2127991
05 01 2018 16:40,0,2.23940897,0,236.4194946
05 01 2018 16:50,0,2.801307917,0,243.9626007
05 01 2018 17:00,0,3.201854944,25.7189917,241.4969025
05 01 2018 17:10,0,2.875705957,0,236.6499023
05 01 2018 17:20,0,2.854813099,0,231.9618073
05 01 2018 17:30,0,2.863102913,0,214.8110046
05 01 2018 17:40,0,2.499380112,0,203.1401978
05 01 2018 17:50,0,2.928209066,0,208.8934021
05 01 2018 18:00,0,2.825680017,0,222.7451019
05 01 2018 18:10,0,2.271142006,0,225.7310944
05 01 2018 18:20,0,2.446209908,0,231.9817047
05 01 2018 18:30,0,2.877877951,0,224.1681976
05 01 2018 18:40,0,2.957370043,0,208.3934021
05 01 2018 18:50,0,3.568568945,60.05585785,208.1672058
05 01 2018 19:00,0,2.449913979,0,224.892395
05 01 2018 19:10,0,1.791203976,0,243.6520996
05 01 2018 19:20,0,1.930189967,0,252.5655975
05 01 2018 19:30,0,1.660967946,0,233.1425934
05 01 2018 19:40,0,2.148116112,0,257.0335999
05 01 2018 19:50,0,2.624979019,0,258.8557129
05 01 2018 20:00,0,2.289019108,0,253.5534973
05 01 2018 20:10,0,2.671096087,0,253.2687988
05 01 2018 20:20,0,2.723583937,0,245.9183044
05 01 2018 20:30,0,2.813057899,0,244.0549927
05 01 2018 20:40,0,2.679502964,0,251.0276031
05 01 2018 20:50,0,2.554055929,0,241.9400024
05 01 2018 21:00,0,2.330497026,0,238.5106049
05 01 2018 21:10,0,1.548683047,0,209.9880066
05 01 2018 21:20,0,1.566717982,0,188.5220947
05 01 2018 21:30,0,2.107630014,0,197.4953003
05 01 2018 21:40,0,1.79004705,0,185.6945038
05 01 2018 21:50,0,1.783530951,0,205.5852966
05 01 2018 22:00,0,1.452373028,0,231.9136047
05 01 2018 22:10,0,2.141073942,0,221.9756012
05 01 2018 22:20,0,2.596193075,0,227.854599
05 01 2018 22:30,0,2.092180014,0,212.6759033
05 01 2018 22:40,0,1.928406954,0,186.9420013
05 01 2018 22:50,0,1.896306992,0,207.5079041
05 01 2018 23:00,0,1.386492014,0,227.8764954
05 01 2018 23:10,0,1.383507013,0,243.2460938
05 01 2018 23:20,0,1.208117008,0,226.5276031
05 01 2018 23:30,0,1.212676048,0,232.8432007
05 01 2018 23:40,0,1.216743946,0,275.9594116
05 01 2018 23:50,0,0.858171403,0,258.8037109
