DateTime,WindSpeed,WindDirection,ActivePower_kW,PredictedPower_kW,Source
03 01 2018 09:40,3.821,96.252,92.924,32.276,CSV
03 01 2018 09:50,3.581,61.577,85.702,55.140,CSV
03 01 2018 10:00,4.716,269.206,309.511,261.284,CSV
03 01 2018 10:10,5.081,356.114,381.173,281.302,CSV
03 01 2018 10:20,5.343,425.023,417.266,357.585,CSV
03 01 2018 10:30,5.453,455.499,446.344,314.365,CSV
03 01 2018 10:40,4.297,180.221,206.602,119.095,CSV
03 01 2018 10:50,4.736,273.753,251.376,225.411,CSV
03 01 2018 11:00,4.781,283.865,275.014,315.924,CSV
03 01 2018 11:10,4.894,310.413,314.274,267.413,CSV
03 01 2018 11:20,4.487,219.356,238.782,184.480,CSV
03 01 2018 11:30,5.315,417.263,409.027,368.708,CSV
03 01 2018 11:40,5.711,531.919,506.470,405.183,CSV
03 01 2018 11:50,5.375,433.718,427.957,427.916,CSV
03 01 2018 12:00,6.896,969.635,952.268,934.150,CSV
03 01 2018 12:10,7.241,1128.238,1019.905,971.248,CSV
03 01 2018 12:20,6.710,890.612,1015.358,768.398,CSV
03 01 2018 12:30,6.852,950.717,979.723,643.441,CSV
03 01 2018 12:40,5.078,355.474,379.408,353.938,CSV
03 01 2018 12:50,6.521,814.344,841.598,695.311,CSV
03 01 2018 13:00,6.171,683.275,672.619,587.432,CSV
03 01 2018 13:10,5.449,454.517,452.079,373.861,CSV
03 01 2018 13:20,5.851,575.911,558.998,531.357,CSV
03 01 2018 13:30,5.094,359.455,331.719,275.064,CSV
03 01 2018 13:40,4.599,243.166,212.101,189.342,CSV
03 01 2018 13:50,3.630,67.872,79.721,48.647,CSV
03 01 2018 14:00,4.473,216.233,183.013,189.860,CSV
03 01 2018 14:10,4.919,316.255,279.196,257.471,CSV
03 01 2018 14:20,5.626,505.938,460.217,503.646,CSV
03 01 2018 14:30,6.317,736.165,647.711,617.027,CSV
03 01 2018 14:40,6.237,706.963,685.078,604.338,CSV
03 01 2018 14:50,6.449,786.331,709.834,686.011,CSV
03 01 2018 15:00,5.783,554.126,493.356,509.828,CSV
03 01 2018 15:10,5.346,425.803,366.079,302.684,CSV
03 01 2018 15:20,4.379,196.886,183.038,149.521,CSV
03 01 2018 15:30,3.011,16.374,7.348,8.216,CSV
03 01 2018 15:40,3.743,83.986,0.000,45.282,CSV
03 01 2018 15:50,3.246,28.731,12.344,16.440,CSV
03 01 2018 16:00,2.186,0.000,-0.393,-0.002,CSV
03 01 2018 16:10,2.142,0.000,0.000,0.000,CSV
03 01 2018 16:20,2.501,0.000,0.000,0.004,CSV
03 01 2018 16:30,2.669,0.000,0.000,0.066,CSV
03 01 2018 16:40,3.034,17.181,0.000,6.805,CSV
03 01 2018 16:50,3.197,25.431,0.000,9.990,CSV
03 01 2018 17:00,3.908,110.980,0.000,65.112,CSV
03 01 2018 17:10,3.801,93.007,65.988,83.256,CSV
03 01 2018 17:20,4.437,208.815,157.850,173.363,CSV
03 01 2018 17:30,3.678,74.458,50.422,50.445,CSV
03 01 2018 17:40,4.115,144.721,88.188,98.628,CSV
03 01 2018 17:50,4.987,332.902,242.313,215.114,CSV
03 01 2018 18:00,4.871,304.954,262.802,326.938,CSV
03 01 2018 18:10,5.921,598.758,584.667,467.008,CSV
03 01 2018 18:20,5.031,343.549,298.587,330.760,CSV
03 01 2018 18:30,4.998,335.474,279.773,331.713,CSV
03 01 2018 18:40,6.434,780.560,823.480,670.911,CSV
03 01 2018 18:50,6.997,1014.476,883.266,590.977,CSV
03 01 2018 19:00,7.625,1323.351,1155.174,941.800,CSV
03 01 2018 19:10,8.103,1589.536,1400.389,1364.429,CSV
03 01 2018 19:20,7.519,1267.568,1205.105,1146.981,CSV
03 01 2018 19:30,7.688,1356.847,1292.051,1250.057,CSV
03 01 2018 19:40,8.459,1802.775,1856.177,1623.214,CSV
03 01 2018 19:50,9.077,2193.938,1928.175,1610.796,CSV
03 01 2018 20:00,8.439,1790.768,1604.427,1387.840,CSV
03 01 2018 20:10,7.987,1522.807,1599.996,1038.427,CSV
03 01 2018 20:20,7.940,1495.817,1456.095,1168.290,CSV
03 01 2018 20:30,7.720,1373.888,1386.623,1179.786,CSV
03 01 2018 20:40,7.774,1403.435,1460.361,1267.482,CSV
03 01 2018 20:50,8.582,1878.957,1894.795,1615.644,CSV
03 01 2018 21:00,8.339,1729.805,1760.423,1178.904,CSV
03 01 2018 21:10,9.084,2198.000,2010.977,1661.822,CSV
03 01 2018 21:20,8.675,1937.131,1828.816,1683.450,CSV
03 01 2018 21:30,9.151,2241.614,1960.693,1979.123,CSV
03 01 2018 21:40,9.192,2268.199,1900.448,1780.368,CSV
03 01 2018 21:50,8.260,1682.389,1549.958,982.423,CSV
03 01 2018 22:00,8.490,1821.638,1692.689,1594.530,CSV
03 01 2018 22:10,8.789,2008.642,1931.084,1203.225,CSV
03 01 2018 22:20,8.956,2115.986,2060.148,1525.038,CSV
03 01 2018 22:30,9.096,2205.806,2069.625,1470.146,CSV
03 01 2018 22:40,8.726,1969.014,2037.267,1610.736,CSV
03 01 2018 22:50,8.112,1594.826,1594.846,1355.737,CSV
03 01 2018 23:00,6.857,952.755,994.583,830.314,CSV
03 01 2018 23:10,7.280,1147.125,1137.285,1008.388,CSV
03 01 2018 23:20,7.534,1275.663,1267.858,857.919,CSV
03 01 2018 23:30,6.946,991.792,1002.463,779.254,CSV
03 01 2018 23:40,7.086,1054.959,1172.348,950.155,CSV
03 01 2018 23:50,7.407,1210.225,1252.139,1105.322,CSV
04 01 2018 00:00,6.934,986.600,1121.167,699.796,CSV
04 01 2018 00:10,7.151,1085.577,1183.021,956.176,CSV
04 01 2018 00:20,6.572,834.332,932.308,696.361,CSV
04 01 2018 00:30,6.760,911.392,989.508,839.165,CSV
04 01 2018 00:40,6.415,773.074,750.551,584.959,CSV
04 01 2018 00:50,6.523,815.196,825.766,760.038,CSV
04 01 2018 01:00,7.063,1044.580,1116.487,1017.337,CSV
04 01 2018 01:10,6.693,883.558,986.760,759.114,CSV
04 01 2018 01:20,6.809,932.355,1018.145,768.860,CSV
04 01 2018 01:30,6.096,656.960,659.178,571.852,CSV
04 01 2018 01:40,6.143,673.190,729.487,518.831,CSV
04 01 2018 01:50,6.430,779.022,864.503,651.988,CSV
